nome,cognome,patronimico,marito,appezzamento,mq,via,numCivico,speciePro,tipoPossesso,comproprietari,numeroAppezzamenti,superficieTotaleMq
Carlotta,Barbolani_da_Montauto,Federigo,Simone_Velluti_Zati,https://florentiaillustrata.net/resource/appezzamento/235,84.4688,Via_Chiara,5050,casa,comproprietà,Clarice Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,9,703.3390
Carlotta,Barbolani_da_Montauto,Federigo,Simone_Velluti_Zati,https://florentiaillustrata.net/resource/appezzamento/633,107.289,Via_Chiara,4999,casa_e_corte,esclusivo,,9,703.3390
Carlotta,Barbolani_da_Montauto,Federigo,Simone_Velluti_Zati,https://florentiaillustrata.net/resource/appezzamento/9488,72.8884,Via_Larga,6040,casa,comproprietà,Clarice Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,9,703.3390
Carlotta,Barbolani_da_Montauto,Federigo,Simone_Velluti_Zati,https://florentiaillustrata.net/resource/appezzamento/9489,81.744,Via_Larga,6041,casa,comproprietà,Clarice Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,9,703.3390
Clarice,Barbolani_da_Montauto,Federigo,Lorenzo_Mancini,https://florentiaillustrata.net/resource/appezzamento/13174,887.9442,Piazza_di_S._Jacopo,7921,palazzo,esclusivo,,8,1464.5800
Clarice,Barbolani_da_Montauto,Federigo,Lorenzo_Mancini,https://florentiaillustrata.net/resource/appezzamento/13873,0.0,Via_S._Giovanni,2274,casetta_e_rimessa,comproprietà,Carlotta Barbolani da Montauto; Minerva Barbolani da Montauto; Luisa Barbolani da Montauto; Vittoria Barbolani da Montauto,8,1464.5800
Clarice,Barbolani_da_Montauto,Federigo,Lorenzo_Mancini,https://florentiaillustrata.net/resource/appezzamento/15218,88.8966,Via_de_Bardi,1336,"casa,_corte_e_orto",comproprietà,Carlotta Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,8,1464.5800
Clarice,Barbolani_da_Montauto,Federigo,Lorenzo_Mancini,https://florentiaillustrata.net/resource/appezzamento/1798,174.7278,Via_degli_Avelli,4598,casa,comproprietà,Carlotta Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,8,1464.5800
Clarice,Barbolani_da_Montauto,Federigo,Lorenzo_Mancini,https://florentiaillustrata.net/resource/appezzamento/235,84.4688,Via_Chiara,5050,casa,comproprietà,Carlotta Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,8,1464.5800
Clarice,Barbolani_da_Montauto,Federigo,Lorenzo_Mancini,https://florentiaillustrata.net/resource/appezzamento/9488,72.8884,Via_Larga,6040,casa,comproprietà,Carlotta Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,8,1464.5800
Clarice,Barbolani_da_Montauto,Federigo,Lorenzo_Mancini,https://florentiaillustrata.net/resource/appezzamento/9489,81.744,Via_Larga,6041,casa,comproprietà,Carlotta Barbolani da Montauto; Luisa Barbolani da Montauto; Minerva Barbolani da Montauto; Vittoria Barbolani da Montauto,8,1464.5800
Maddalena,Barducci,Giuseppe,Giovanni_Pani,https://florentiaillustrata.net/resource/appezzamento/10013,124.319,Via_del_Cocomero,6125,casa,esclusivo,,7,447.5484
Maddalena,Barducci,Giuseppe,Giovanni_Pani,https://florentiaillustrata.net/resource/appezzamento/1510,159.4008,Via_dei_Palchetti,4056,casa,esclusivo,,7,447.5484
Affortunata,Baroni,Antonio,Domenico,https://florentiaillustrata.net/resource/appezzamento/12543,86.853,Via_Borgo_la_Croce,7120,casa,esclusivo,,7,336.8534
Affortunata,Baroni,Antonio,Domenico,https://florentiaillustrata.net/resource/appezzamento/12641,15.327,Via_Borgo_la_Croce,7077,ingresso,esclusivo,,7,336.8534
Annunziata,Bartoli,Pietro,Lorenzo_Fontanelli,https://florentiaillustrata.net/resource/appezzamento/211,37.1254,Via_dell_Ariento,4901,casa,esclusivo,,1,37.1254
Anna,Bartolini,Paolo,Filippo_Vincenti,https://florentiaillustrata.net/resource/appezzamento/13058,11.921,Via_del_Fosso,7660,ingresso,esclusivo,,2,109.3326
Annunziata,Bartolini,Francesco,Giovacchino_Toccafondi,https://florentiaillustrata.net/resource/appezzamento/10530,60.6268,Via_S._Zanobi,5614,casa,esclusivo,,6,363.0796
Annunziata,Bartolini,Francesco,Giovacchino_Toccafondi,https://florentiaillustrata.net/resource/appezzamento/10531,61.308,Via_dell_Acqua,5615,casa,esclusivo,,6,363.0796
Annunziata,Bartolini,Francesco,Giovacchino_Toccafondi,https://florentiaillustrata.net/resource/appezzamento/10570,73.9102,Via_Palagetto,5393_e_5392,casa,esclusivo,,6,363.0796
Annunziata,Bartolini,Francesco,Giovacchino_Toccafondi,https://florentiaillustrata.net/resource/appezzamento/815,6.812,Via_dell_Ariento,4878,ingresso,esclusivo,,6,363.0796
Francesca,Bartolini,Agostino,Francesco_Graziani,https://florentiaillustrata.net/resource/appezzamento/1679,64.714,Via_del_Sole,4263,casa,comproprietà,Filippo Marchionni; Luca Marchionni; Lorenzo Marchionni,2,84.8094
Maria,Bartolini,Francesco,Pietro_Nenci,https://florentiaillustrata.net/resource/appezzamento/1689,255.45,Via_delle_Belle_Donne,4228,casa,esclusivo,,1,255.45
Teresa,Bartolini,Niccolò,Baldanzi,https://florentiaillustrata.net/resource/appezzamento/16293,128.7468,Borgo_S._Frediano,2840,casa_e_corte,esclusivo,,2,247.2756
Laura,Bartolini_Salimbeni,Pier_Francesco,Giuseppe_Bartolini_Baldelli,https://florentiaillustrata.net/resource/appezzamento/1485,19.7548,Via_Vigna_Nuova,4155,ingresso,esclusivo,,6,180.5180
Enrichetta,Bartolommei,Leopoldo,Tommaso_Passerini,https://florentiaillustrata.net/resource/appezzamento/15553,616.486,Fondacci_S._Niccolò_e_Via_dei_Renai,1385,casa_e_corte,esclusivo,,2,924.729
Angiola,Barzotti,Giovanni,Giovacchino_Gucci,https://florentiaillustrata.net/resource/appezzamento/6877,41.8938,Via_Malpaganti,1070,corte_e_fabbricato,comproprietà,Giovacchino Gucci,2,45.6404
Maria_Gaspera,Bassi,Santi,Pietro_Gambinossi,https://florentiaillustrata.net/resource/appezzamento/9324,111.0356,Via_Cafaggiolo,6562,casa,esclusivo,,1,111.0356
Elisabetta,Bassini,Cosimo,Luigi_Cesarei,https://florentiaillustrata.net/resource/appezzamento/7336,20.436,Via_dei_Maccheroni,825,casa,esclusivo,,9,391.3494
Elisabetta,Bassini,Cosimo,Luigi_Cesarei,https://florentiaillustrata.net/resource/appezzamento/7342,13.2834,Piazza_del_Duomo,826,bottega,esclusivo,,9,391.3494
Elisabetta,Bassini,Cosimo,Luigi_Cesarei,https://florentiaillustrata.net/resource/appezzamento/9285,178.1338,Via_della_Colonna,6543,casa,esclusivo,,9,391.3494
Orsola,Batistini,Giovanni,Giacomo_Pecchioni,https://florentiaillustrata.net/resource/appezzamento/11757,2.0436,Via_Fiesolana,6867,ingresso_e_casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni_di_Gaspero,https://florentiaillustrata.net/resource/appezzamento/11757,2.0436,Via_Fiesolana,6867,ingresso_e_casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni,https://florentiaillustrata.net/resource/appezzamento/11758,106.2672,Via_Fiesolana,6868,terreno_e_casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni_di_Gaspero,https://florentiaillustrata.net/resource/appezzamento/11758,106.2672,Via_Fiesolana,6868,terreno_e_casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni,https://florentiaillustrata.net/resource/appezzamento/4596,324.2512,Via_del_Corno,8,casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni_di_Gaspero,https://florentiaillustrata.net/resource/appezzamento/4596,324.2512,Via_del_Corno,8,casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni,https://florentiaillustrata.net/resource/appezzamento/4670,7.8338,Via_Vinegia,19,casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni_di_Gaspero,https://florentiaillustrata.net/resource/appezzamento/4670,7.8338,Via_Vinegia,19,casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni,https://florentiaillustrata.net/resource/appezzamento/4834,267.0304,Via_de_Neri,71,bottega,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni_di_Gaspero,https://florentiaillustrata.net/resource/appezzamento/4834,267.0304,Via_de_Neri,71,bottega,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni,https://florentiaillustrata.net/resource/appezzamento/7438,3.7466,Via_S._Elisabetta,774,casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni_di_Gaspero,https://florentiaillustrata.net/resource/appezzamento/7438,3.7466,Via_S._Elisabetta,774,casa,comproprietà,Angelica Pecchioni; Anna Pecchioni,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni,https://florentiaillustrata.net/resource/appezzamento/7448,5.7902,Piazza_S._Elisabetta,785,casa,esclusivo,,25,1282.3590
Orsola,Batistini,Giovanni,Giacomo_Pecchioni_di_Gaspero,https://florentiaillustrata.net/resource/appezzamento/7448,5.7902,Piazza_S._Elisabetta,785,casa,esclusivo,,25,1282.3590
Maddalena_Teresa,Becattini,Giuseppe,Filippo_Donati,https://florentiaillustrata.net/resource/appezzamento/1945,88.2154,Via_Faenza,4745,casa,esclusivo,,2,148.1610
Rosa,Becci,Gaspero,Pasquale_Schepers,https://florentiaillustrata.net/resource/appezzamento/6234,53.4742,S._Michele_in_Orto,557,casa,esclusivo,,3,90.2590
Luisa,Befani,Andrea,Giovacchino_Pozzolini,https://florentiaillustrata.net/resource/appezzamento/11899,177.4526,Via_dei_Pianellai,7352,casa_e_corte,esclusivo,,8,647.4806
Luisa,Befani,Andrea,Giovacchino_Pozzolini,https://florentiaillustrata.net/resource/appezzamento/11900,58.9238,Via_dei_Pianellai,7351,casa_e_corte,esclusivo,,8,647.4806
Luisa,Befani,Andrea,Giovacchino_Pozzolini,https://florentiaillustrata.net/resource/appezzamento/6059,82.7658,Via_del_Braccio,511,casa,esclusivo,,8,647.4806
Giovanna,Bellinati,Sebastiano,Dulin_Dubif,https://florentiaillustrata.net/resource/appezzamento/13483,470.028,Fondacci_di_S._Spirito_e_Lung_Arno,2031,"casa,_corte_e_rimessa",esclusivo,,6,590.6004
Giovanna,Bellinati,Sebastiano,Dulin_Dubois,https://florentiaillustrata.net/resource/appezzamento/13483,470.028,Fondacci_di_S._Spirito_e_Lung_Arno,2031,"casa,_corte_e_rimessa",esclusivo,,6,590.6004
Rosa,Bellini,Pietro,Gherardi,https://florentiaillustrata.net/resource/appezzamento/12600,54.1554,Via_Borgo_la_Croce,7098,casa,comproprietà,Angelo Bellini; Assunta Bellini; Marianna Bellini; Umiltà Bellini,1,54.1554
Luisa,Bellucci,Tommaso,Pietro_Zucconi,https://florentiaillustrata.net/resource/appezzamento/372,102.18,Via_dei_Ginori,5195,casa,comproprietà,Angiolo Zucconi,2,169.6188
Luisa,Bellucci,Tommaso,Pietro_Zucconi,https://florentiaillustrata.net/resource/appezzamento/447,67.4388,Via_Borgo_la_Noce,5097,casa,comproprietà,Angiolo Zucconi,2,169.6188
Teresa,Benassi,Gaspero,Luca_Marchionni,https://florentiaillustrata.net/resource/appezzamento/14785,118.8694,Borgo_S._Pier_Gattolini,2398,casa_e_corte,comproprietà,Luisa Benassi,7,441.7582
Teresa,Benassi,Gaspero,Luca_Marchionni,https://florentiaillustrata.net/resource/appezzamento/14786,5.7902,Borgo_S._Pier_Gattolini,2399,ingresso_e_casa,comproprietà,Luisa Benassi,7,441.7582
Teresa,Benassi,Gaspero,Luca_Marchionni,https://florentiaillustrata.net/resource/appezzamento/16184,7.8338,Via_dei_Serragli,2799,casa,comproprietà,Luisa Benassi,7,441.7582
Teresa,Benassi,Gaspero,Luca_Marchionni,https://florentiaillustrata.net/resource/appezzamento/1720,50.4088,Piazza_S._Maria_Novella,4249,casa,comproprietà,Luisa Benassi,7,441.7582
Teresa,Benassi,Gaspero,Luca_Marchionni,https://florentiaillustrata.net/resource/appezzamento/1721,63.011,Piazza_S._Maria_Novella,4248,casa,comproprietà,Luisa Benassi,7,441.7582
Luisa,Bencini,Francesco,Lorenzo_Fanfani,https://florentiaillustrata.net/resource/appezzamento/12233,126.022,Via_Pietrapiana,7195,casa_e_corte,esclusivo,,2,253.0658
Assunta,Bensi,,Gaspero_Benedetti,https://florentiaillustrata.net/resource/appezzamento/2610,64.0328,Borgo_Ognissanti,3916,casa,comproprietà,Annunziata Benedetti; Ester Benedetti; Maddalena Benedetti,4,227.1802
Assunta,Bensi,,Gaspero_Benedetti,https://florentiaillustrata.net/resource/appezzamento/2645,102.5206,Borgo_Ognissanti,3904,casa,comproprietà,Annunziata Benedetti; Ester Benedetti; Maddalena Benedetti,4,227.1802
Gaspera,Bensi,Vincenzo,Giovanni_Giannini,https://florentiaillustrata.net/resource/appezzamento/5083,6.4714,Via_dei_Castellani,123,casa,comproprietà,Gaetano Giannini; Vincenzo Giannini,2,60.9674
Lucia,Beri,,Luigi_Poggiali,https://florentiaillustrata.net/resource/appezzamento/12690,91.2808,Via_della_Fornace,7443,casa,esclusivo,,2,148.5016
Agata,Bernacchioni,Giovan_Domenico,Francesco_Moiali,https://florentiaillustrata.net/resource/appezzamento/2415,85.8312,Via_Palazzuolo,3847_e_3848,casa,esclusivo,,1,85.8312
Colomba,Bernardi,Antonio,Vincenzo_Papi,https://florentiaillustrata.net/resource/appezzamento/17021,64.0328,Via_del_Leone,2886,casa,comproprietà,Rosa Rappezzi,2,168.2564
Maria,Berretti,Vincenzo,Vincenzo_Giuntini,https://florentiaillustrata.net/resource/appezzamento/2397,72.8884,Via_Palazzuolo,3863_e_3864,casa,esclusivo,,1,72.8884
Caterina,Berteau,Stefano,Pietro_Tajuti,https://florentiaillustrata.net/resource/appezzamento/12770,162.8068,Via_delle_Casine,7847,casa_e_corte,comproprietà,Antonio Tajuti; Carolina Berteau; Giovan Battista Berteau; Luigi Berteau; Stefano Berteau; Pietro Tajuti,3,355.5864
Teresa,Berteau,Giovan_Battista,Matteo_Cotenni,https://florentiaillustrata.net/resource/appezzamento/7111,8.8556,Via_del_Corso,674,casa,esclusivo,,7,297.0032
Teresa,Berteau,Giovan_Battista,Matteo_Cotenni,https://florentiaillustrata.net/resource/appezzamento/7190,5.109,Via_dei_Contenti,660,casa,esclusivo,,7,297.0032
Teresa,Berteau,Giovan_Battista,Matteo_Cotenni,https://florentiaillustrata.net/resource/appezzamento/9802,88.2154,Borgo_Pinti,6660,casa,esclusivo,,7,297.0032
Anna,Bertelli,Ignazio,Bardi,https://florentiaillustrata.net/resource/appezzamento/17485,117.507,Via_Romana,2461,casa_e_annessi,comproprietà,Gesualda Bardi; Mariano Bardi,2,157.3572
Teresa_Carolina,Berti,Filippo,Carlo_Guarducci,https://florentiaillustrata.net/resource/appezzamento/1075,250.6816,Via_della_Forca,4676,casa,esclusivo,,1,250.6816
Giacomina,Bertini,Gaetano,Giuseppe_Guiducci,https://florentiaillustrata.net/resource/appezzamento/11514,119.21,Via_di_Mezzo,6931,casa_e_corte,esclusivo,,1,119.21
Maria,Bertini,,Pier_Maria_Bicchiarai,https://florentiaillustrata.net/resource/appezzamento/14043,341.6218,Via_Maggio_e_Borgo_Tegolaia,1914,"casa,_corte_e_rimessa",comproprietà,Alessandro Bicchiarai; Lorenzo Bicchiarai,3,563.6930
Maria,Bertini,,Pier_Maria_Bicchiarai,https://florentiaillustrata.net/resource/appezzamento/14044,77.9974,Borgo_Tegolaia,1938,casa_con_stalla_a_comune,comproprietà,Alessandro Bicchiarai; Lorenzo Bicchiarai,3,563.6930
Maria,Bertini,,Pier_Maria_Bicchiarai,https://florentiaillustrata.net/resource/appezzamento/14050,144.0738,Via_Maggio,1915,casa_e_corte,comproprietà,Alessandro Bicchiarai; Lorenzo Bicchiarai,3,563.6930
Rosa,Bertini,Stefano,Ciampolini,https://florentiaillustrata.net/resource/appezzamento/14089,193.1202,Via_Maggio,1890,"casa,_bottega_e_corte",comproprietà,Adelaide Ciampolini,1,193.1202
Caterina,Bettini,Domenico,Giacomo_Modena,https://florentiaillustrata.net/resource/appezzamento/2814,1503.4084,Piazza_di_Ognissanti,3362,palazzo_e_corte,esclusivo,,4,3240.8090
Angiola_Caterina,Biadelli,,Guasco,https://florentiaillustrata.net/resource/appezzamento/13468,11.921,Fondacci_di_S._Spirito,2022,ingresso,esclusivo,,2,140.6678
Anna,Bianchi,Bernardino,Vincenzo_Miliani,https://florentiaillustrata.net/resource/appezzamento/4290,10.5586,Via_dell_Anguillara,258,casa,esclusivo,,2,44.6186
Carlotta,Bianchi,Paolo,Luigi_Buti,https://florentiaillustrata.net/resource/appezzamento/13516,141.349,Via_Maggio_e_Via_del_Presto,1927,casa,esclusivo,,1,141.349
